PERMITTED_VALUE	DESCRIPTION	DEFINITION
Invasive Breast Ductal Carcinoma and Lobular Carcinoma	None	An invasive ductal breast carcinoma associated with a lobular carcinomatous component. The lobular carcinomatous component may be in situ or invasive.
Breast Intracanalicular Fibroadenoma	None	A morphologic variant of breast fibroadenoma without clinical significance. It is characterized by distortion and compression of the ducts by proliferating stromal cells.
Breast Lobular Carcinoma In Situ	None	A non-invasive adenocarcinoma of the breast characterized by a proliferation of monomorphic cells completely filling the lumina.  The overall lobular architecture is preserved.  It is frequently multifocal (90% in some series) and bilateral.  It seldom becomes invasive; however there is an increased risk of infiltrating ductal adenocarcinoma.
Breast Medullary Carcinoma	None	An infiltrating breast carcinoma distinguished by its allegedly good prognosis. Medullary breast carcinoma is uncommon, accounting for fewer than 1% of all infiltrating breast carcinomas. Grossly, this is a well circumscribed tumor, with soft cut surface
Breast Paget Disease and Intraductal Carcinoma	None	Paget disease of the breast associated with the presence of a usually high grade ductal carcinoma in situ in the lactiferous glands.
Breast Paget Disease	None	A malignant neoplasm in which there is infiltration of the skin overlying the breast by neoplastic large cells with abundant pale cytoplasm and large nuclei with prominent nucleoli (Paget cells). It is almost always associated with an intraductal or invasive ductal carcinoma of the breast. The clinical features include focal skin reddening, and eczema. Retraction of the nipple may sometimes occur.
Breast Papillary Ductal Carcinoma In Situ	None	A non-invasive breast adenocarcinoma located in a distended duct. It is characterized by the presence of papillary structures with fibrovascular stalks. In the absence of ductal carcinoma in situ or invasive carcinoma in adjacent tissues, the prognosis is usually favorable.
Breast Pleomorphic Lobular Carcinoma In Situ	None	A recently described aggressive subtype of classic lobular breast carcinoma in situ. It is characterized by the presence of neoplastic large cells with irregular nuclei and prominent single or multiple nucleoli.
Breast Secretory Carcinoma	None	A rare, low grade invasive adenocarcinoma of the breast characterized by the presence of cells that secrete milk-like material. Morphologically, it usually appears as a circumscribed lesion, composed of cystic spaces, tubular structures, and solid areas.
Borderline Ovarian Brenner Tumor	None	A Brenner tumor of the ovary characterized by papillary structures, nuclear cytologic atypia, and absense of stromal invasion.
Borderline Ovarian Endometrioid Adenofibroma	None	An epithelial neoplasm that arises from the ovary characterized by the presence of glandular or cystic spaces which contain atypical glandular epithelial cells resembling endometrial cells. The surrounding ovarian stroma is fibrotic. There is no evidence of stromal invasion.
Borderline Ovarian Mucinous Adenofibroma	None	A low malignant potential adenofibroma of the ovary It is characterized by an atypical epithelial hyperplasia. The epithelial cells contain intracytoplasmic mucin. There is no evidence of stromal destructive invasion.
Borderline Ovarian Serous Adenofibroma	None	A low malignant potential adenofibroma arising from the ovary. It is characterized by an atypical epithelial hyperplasia. The epithelial cells are of serous type. There is no evidence of stromal destructive invasion.
Borderline Ovarian Serous Tumor	None	A low grade serous epithelial neoplasm arising from the ovary.  It is characterized by an atypical proliferation of serous-type epithelial cells without evidence of stromal invasion.  It is often asymptomatic but rarely it may present with abdominal pain or abdominal enlargement due to rupture or torsion.
Borderline Phyllodes Tumor	None	A phylodes tumor with morphologic characteristics which are intermediate between a benign and a malignant phylodes tumor. The stromal sarcomatous changes are of low grade and are often reminiscent of low grade fibrosarcomas.
Breast Adenomyoepithelioma	None	A usually benign neoplasm arising from the breast. It is characterized by the proliferation of cells with myoepithelial differentiation around spaces which are lined by epithelial cells. Rarely, the epithelial and/or myoepithelial cells may undergo malignant transformation. Cases with malignant transformation may follow an aggressive clinical course, including recurrences and local and distant metastases.
Diffuse Midline Glioma, H3 K27M-Mutant	None	A childhood diffuse midline glioma characterized by the presence of histone H3 K27M mutation.
Diffuse Retinoblastoma	None	A retinoblastoma characterized by the absence of a distinct retinal mass and the presence of malignant cells diffusely infiltrating the retina. It is often confused with uveitis and endophthalmitis, resulting in delayed diagnosis of the malignancy.
Diffuse Type Adenocarcinoma	None	An adenocarcinoma characterized by the presence of a diffuse cellular infiltrate which is composed of poorly cohesive cells with minimal or no glandular formations. Representative example is the gastric diffuse adenocarcinoma.
Digestive System Neuroendocrine Tumor G2	None	A well differentiated, intermediate grade neoplasm with neuroendocrine differentiation that arises from the digestive system. The mitotic count is 2-20 per 10 HPF and/or the Ki67 index is 3 to 20 percent.
Digital Papillary Adenocarcinoma	None	An adenocarcinoma arising from the sweat glands. Most cases present as nodular lesions on the digits, usually in the hands. It is characterized by the presence of epithelial cells in the dermis forming nodules. Cystic structures containing papillary projections are also present. It may recur and metastasize, most commonly to the lungs.
Dysplastic Cerebellar Gangliocytoma	None	Dysplastic Gangliocytoma of the Cerebellum (WHO grade I), also called Lhermitte-Duclos disease, is a benign cerebellar mass, which occurs in young adults and is composed of dysplastic ganglion cells.  It is the major CNS manifestation of Cowden Disease, an autosomal dominant condition that causes a variety of hamartomas and neoplasms.(Adapted from WHO.)
EBV-Positive Mucocutaneous Ulcer	None	A rare Epstein-Barr virus-positive B-cell lymphoproliferative disorder which presents as an ulcerative mucocutaneous lesion. It is associated with immune suppression, including age-related and drug-induced immunosuppression.
Ectomesenchymoma	None	An aggressive malignant mesenchymal neoplasm of the nervous system or soft tissues. It is characterized by the presence of a sarcomatous component (most often rhabdomyosarcoma) and a ganglionic or a neuroectodermal component.
Elastofibroma	None	A benign, slow-growing tumor arising from the soft tissues usually in the mid-thoracic region of the elderly. It is characterized by the presence of paucicellular collagenous tissue, adipocytes and a predominance of large coarse elastic fibers arranged in globules.
Embryonal Rhabdomyosarcoma	None	A poorly circumscribed morphologic variant of rhabdomyosarcoma.  It is characterized by the presence of primitive skeletal muscle differentiation in any stage of myogenesis.
Encapsulated Variant Thyroid Gland Papillary Carcinoma	None	A typical papillary thyroid gland carcinoma that is totally surrounded by a fibrous capsule, which may be intact or only focally infiltrated by tumor growth. It accounts for about 10% of all cases of papillary thyroid gland carcinoma and has an excellent prognosis. Regional nodal metastases may be present, but bloodborne metastases are rare. The survival rate is nearly 100%. (WHO 2017)
Endometrial Atypical Hyperplasia/Endometrioid Intraepithelial Neoplasia	None	A premalignant neoplastic process that affects the endometrial epithelium and glands. It is characterized by architectural glandular alterations and cytological abnormalities in the epithelial cells. The lesion exceeds 1 mm in maximum linear dimension.
Endometrial Endometrioid Adenocarcinoma, Secretory Variant	None	An endometrioid adenocarcinoma arising from the endometrium. Morphologically it is characterized by the presence of malignant glandular cells containing glycogen vacuoles which are usually subnuclear and reminiscent of early secretory endometrium.
